SCLK,LMST,LTST,LOCAL_RELATIVE_HUMIDITY,LOCAL_RELATIVE_HUMIDITY_UNCERTAINTY,HUMIDITY_LOCAL_TEMP,HUMIDITY_LOCAL_TEMP_UNCERTAINTY,VOLUME_MIXING_RATIO,VOLUME_MIXING_RATIO_UNCERTAINTY
667042782,00001M16:10:40.810,0001 15:33:11,,,274.68,,,
667042783,00001M16:10:41.783,0001 15:33:12,,,274.68,,,
667042784,00001M16:10:42.756,0001 15:33:12,,,274.72,,,
667042785,00001M16:10:43.729,0001 15:33:13,,,274.66,,,
667042786,00001M16:10:44.703,0001 15:33:14,,,274.65,,,
667042787,00001M16:10:45.676,0001 15:33:15,,,274.73,,,
667042788,00001M16:10:46.649,0001 15:33:16,,,274.64,,,
667042789,00001M16:10:47.622,0001 15:33:17,,,274.67,,,
667042790,00001M16:10:48.596,0001 15:33:18,,,274.69,,,
667042791,00001M16:10:49.569,0001 15:33:19,,,274.68,,,
667042792,00001M16:10:50.542,0001 15:33:20,,,274.71,,,
667042793,00001M16:10:51.515,0001 15:33:21,,,274.67,,,
667042794,00001M16:10:52.489,0001 15:33:22,,,274.73,,,
667042795,00001M16:10:53.462,0001 15:33:23,,,274.63,,,
667042796,00001M16:10:54.435,0001 15:33:24,,,274.61,,,
667042797,00001M16:10:55.408,0001 15:33:25,,,274.67,,,
667042798,00001M16:10:56.382,0001 15:33:26,,,274.62,,,
667042799,00001M16:10:57.355,0001 15:33:27,,,274.68,,,
667042800,00001M16:10:58.328,0001 15:33:28,,,274.62,,,
667042801,00001M16:10:59.301,0001 15:33:29,,,274.64,,,
667042802,00001M16:11:00.275,0001 15:33:30,,,274.65,,,
667042803,00001M16:11:01.248,0001 15:33:31,,,274.69,,,
667042804,00001M16:11:02.221,0001 15:33:32,,,274.68,,,
667042805,00001M16:11:03.194,0001 15:33:33,,,274.62,,,
667042806,00001M16:11:04.168,0001 15:33:34,,,274.65,,,
667042807,00001M16:11:05.141,0001 15:33:35,,,274.62,,,
667042808,00001M16:11:06.114,0001 15:33:36,,,274.60,,,
667042809,00001M16:11:07.087,0001 15:33:37,,,274.65,,,
667042810,00001M16:11:08.061,0001 15:33:38,,,274.59,,,
667042811,00001M16:11:09.034,0001 15:33:39,,,274.70,,,
667042812,00001M16:11:10.007,0001 15:33:40,,,274.66,,,
667042813,00001M16:11:10.980,0001 15:33:41,,,274.62,,,
667042814,00001M16:11:11.954,0001 15:33:42,,,274.62,,,
667042815,00001M16:11:12.927,0001 15:33:43,,,274.64,,,
667042816,00001M16:11:13.900,0001 15:33:44,,,274.59,,,
667042817,00001M16:11:14.873,0001 15:33:45,,,274.60,,,
667042818,00001M16:11:15.847,0001 15:33:46,,,274.59,,,
667042819,00001M16:11:16.820,0001 15:33:47,,,274.61,,,
667042820,00001M16:11:17.793,0001 15:33:48,,,274.63,,,
667042821,00001M16:11:18.766,0001 15:33:49,,,274.60,,,
667042822,00001M16:11:19.740,0001 15:33:49,,,274.67,,,
667042823,00001M16:11:20.713,0001 15:33:50,,,274.63,,,
667042824,00001M16:11:21.686,0001 15:33:51,,,274.68,,,
667042825,00001M16:11:22.659,0001 15:33:52,,,274.68,,,
667042826,00001M16:11:23.633,0001 15:33:53,,,274.61,,,
667042827,00001M16:11:24.606,0001 15:33:54,,,274.64,,,
667042828,00001M16:11:25.579,0001 15:33:55,,,274.59,,,
667042829,00001M16:11:26.552,0001 15:33:56,,,274.61,,,
667042830,00001M16:11:27.526,0001 15:33:57,,,274.61,,,
667042831,00001M16:11:28.499,0001 15:33:58,,,274.59,,,
667042832,00001M16:11:29.472,0001 15:33:59,,,274.58,,,
667042833,00001M16:11:30.445,0001 15:34:00,,,274.62,,,
667042834,00001M16:11:31.419,0001 15:34:01,,,274.59,,,
667042835,00001M16:11:32.392,0001 15:34:02,,,274.56,,,
667042836,00001M16:11:33.365,0001 15:34:03,,,274.62,,,
667042837,00001M16:11:34.338,0001 15:34:04,,,274.57,,,
667042838,00001M16:11:35.312,0001 15:34:05,,,274.65,,,
667042839,00001M16:11:36.285,0001 15:34:06,,,274.60,,,
667042840,00001M16:11:37.258,0001 15:34:07,,,274.61,,,
667042841,00001M16:11:38.231,0001 15:34:08,,,274.54,,,
667042842,00001M16:11:39.205,0001 15:34:09,,,274.62,,,
667042843,00001M16:11:40.178,0001 15:34:10,,,274.61,,,
667042844,00001M16:11:41.151,0001 15:34:11,,,274.65,,,
667042845,00001M16:11:42.124,0001 15:34:12,,,274.63,,,
667042846,00001M16:11:43.098,0001 15:34:13,,,274.59,,,
667042847,00001M16:11:44.071,0001 15:34:14,,,274.54,,,
667042848,00001M16:11:45.044,0001 15:34:15,,,274.61,,,
667042849,00001M16:11:46.017,0001 15:34:16,,,274.55,,,
667042850,00001M16:11:46.991,0001 15:34:17,,,274.55,,,
667042851,00001M16:11:47.964,0001 15:34:18,,,274.57,,,
667042852,00001M16:11:48.937,0001 15:34:19,,,274.60,,,
667042853,00001M16:11:49.910,0001 15:34:20,,,274.60,,,
667042854,00001M16:11:50.884,0001 15:34:21,,,274.59,,,
667042855,00001M16:11:51.857,0001 15:34:22,,,274.62,,,
667042856,00001M16:11:52.830,0001 15:34:23,,,274.61,,,
667042857,00001M16:11:53.803,0001 15:34:24,,,274.55,,,
667042858,00001M16:11:54.777,0001 15:34:25,,,274.55,,,
667042859,00001M16:11:55.750,0001 15:34:26,,,274.54,,,
667042860,00001M16:11:56.723,0001 15:34:26,,,274.60,,,
667042861,00001M16:11:57.696,0001 15:34:27,,,274.55,,,
667042862,00001M16:11:58.670,0001 15:34:28,,,274.59,,,
667042863,00001M16:11:59.643,0001 15:34:29,,,274.54,,,
667042864,00001M16:12:00.616,0001 15:34:30,,,274.52,,,
667042865,00001M16:12:01.589,0001 15:34:31,,,274.55,,,
667042866,00001M16:12:02.563,0001 15:34:32,,,274.52,,,
667042867,00001M16:12:03.536,0001 15:34:33,,,274.51,,,
667042868,00001M16:12:04.509,0001 15:34:34,,,274.54,,,
667042869,00001M16:12:05.482,0001 15:34:35,,,274.55,,,
667042870,00001M16:12:06.456,0001 15:34:36,,,274.55,,,
667042871,00001M16:12:07.429,0001 15:34:37,,,274.55,,,
667042872,00001M16:12:08.402,0001 15:34:38,,,274.49,,,
667042873,00001M16:12:09.375,0001 15:34:39,,,274.60,,,
667042874,00001M16:12:10.349,0001 15:34:40,,,274.51,,,
667042875,00001M16:12:11.322,0001 15:34:41,,,274.50,,,
667042876,00001M16:12:12.295,0001 15:34:42,,,274.54,,,
667042877,00001M16:12:13.269,0001 15:34:43,,,274.55,,,
667042878,00001M16:12:14.242,0001 15:34:44,,,274.59,,,
667042879,00001M16:12:15.215,0001 15:34:45,,,274.51,,,
667042880,00001M16:12:16.188,0001 15:34:46,,,274.47,,,
667042881,00001M16:12:17.162,0001 15:34:47,,,274.48,,,
667042882,00001M16:12:18.135,0001 15:34:48,,,274.55,,,
